Date,Address,Postcode,Price,Type,Ownership,NewBuild,SaleType
2023-12-13,"Meadow Sweet, Beals Lane, Tilehurst",RG31 5UD,780000,Detached,"Freehold",No,Standard
2023-12-01,"41 Lamorna Crescent, Tilehurst",RG31 5WF,242000,Terraced,"Freehold",No,Standard
2023-11-20,"6 Heathway, Tilehurst",RG31 5AP,530000,Detached,"Freehold",No,Standard
2023-10-24,"35 Lamorna Crescent, Tilehurst",RG31 5WF,260000,Terraced,"Freehold",No,Standard
2023-10-19,"25 York Lodge, Pegasus Court, Tilehurst",RG31 5DB,220000,Flat,"Leasehold",No,Standard
2023-10-13,"43 York Lodge, Pegasus Court, Tilehurst",RG31 5DB,148000,Flat,"Leasehold",No,Standard
2023-10-13,"11 Thistledown, Tilehurst",RG31 5WE,410000,Semi-detached,"Freehold",No,Standard
2023-10-11,"60 Cumberland Lodge, Pegasus Court, Tilehurst",RG31 5DB,150000,Flat,"Leasehold",No,Standard
2023-10-10,"26 Longworth Avenue, Tilehurst",RG31 5JY,465000,Semi-detached,"Freehold",No,Standard
2023-10-06,"10 Meadowside, Tilehurst",RG31 5QE,610000,Detached,"Freehold",No,Standard
2023-10-06,"1 Trelawney Drive, Tilehurst",RG31 5WQ,375000,Terraced,"Freehold",No,Standard
2023-09-29,"33 Sheppard Court, Tilehurst",RG31 5JF,190000,Flat,"Leasehold",No,Standard
2023-09-27,"23 Downing Road, Tilehurst",RG31 5BA,365000,Terraced,"Freehold",No,Standard
2023-09-22,"13 Downing Road, Tilehurst",RG31 5BA,326000,Terraced,"Freehold",No,Standard
2023-09-22,"38 Clements Mead, Tilehurst",RG31 5UJ,390000,Detached,"Freehold",No,Standard
2023-09-15,"69 Cumberland Lodge, Pegasus Court, Tilehurst",RG31 5DB,100000,Flat,"Leasehold",No,Standard
2023-09-01,"54 Buckingham Terrace, Pegasus Court, Tilehurst",RG31 5DB,230000,Flat,"Leasehold",No,Standard
2023-09-01,"52 Meadowside, Tilehurst",RG31 5QE,640000,Detached,"Freehold",No,Standard
2023-08-25,"30 Chapel Hill, Tilehurst",RG31 5DG,274000,Terraced,"Freehold",No,Standard
2023-08-25,"16 Highbury Road, Tilehurst",RG31 5JL,370000,Semi-detached,"Freehold",No,Standard
2023-08-07,"37 York Lodge, Pegasus Court, Tilehurst",RG31 5DB,130000,Flat,"Leasehold",No,Standard
2023-08-04,"2 Sovereign Park, Tilehurst",RG31 5PD,660000,Detached,"Freehold",No,Standard
2023-07-28,"6 Chapel Hill, Tilehurst",RG31 5DG,460000,Other,"Freehold",No,Non-standard
2023-07-28,"38 Barton Road, Tilehurst",RG31 5NJ,376000,Terraced,"Freehold",No,Standard
2023-07-27,"4 Chapel Hill, Tilehurst",RG31 5DG,375000,Semi-detached,"Freehold",No,Non-standard
2023-07-21,"6 Lambourne Close, Tilehurst",RG31 5BE,475000,Detached,"Freehold",No,Standard
2023-07-21,"58 City Road, Tilehurst",RG31 5HB,435000,Terraced,"Freehold",No,Standard
2023-07-18,"4 Eastbury Avenue, Tilehurst",RG31 5LP,385000,Semi-detached,"Freehold",No,Standard
2023-07-12,"28 Sheraton Drive, Tilehurst",RG31 5UZ,469000,Detached,"Freehold",No,Standard
2023-07-10,"75 Pegasus Court, Tilehurst",RG31 5DB,290000,Detached,"Freehold",No,Standard
2023-06-23,"9 Downing Road, Tilehurst",RG31 5BA,300000,Terraced,"Freehold",No,Standard
2023-06-16,"60 Westwood Glen, Tilehurst",RG31 5NW,445000,Semi-detached,"Freehold",No,Standard
2023-06-09,"19 Foxcombe Drive, Tilehurst",RG31 5HT,385000,Terraced,"Freehold",No,Standard
2023-06-05,"Flat 9, 52 School Road, Tilehurst",RG31 5AN,145000,Flat,"Leasehold",No,Non-standard
2023-06-05,"4 Elder Close, Tilehurst",RG31 5WG,355000,Semi-detached,"Freehold",No,Standard
2023-06-02,"4A Victoria Road, Tilehurst",RG31 5AD,415000,Semi-detached,"Freehold",No,Standard
2023-05-31,"63 Longworth Avenue, Tilehurst",RG31 5JU,470000,Semi-detached,"Freehold",No,Standard
2023-05-26,"15 Arundel Lodge, Pegasus Court, Tilehurst",RG31 5DB,115000,Flat,"Leasehold",No,Standard
2023-05-19,"4 Sheppard Court, Tilehurst",RG31 5JF,230000,Flat,"Leasehold",No,Standard
2023-05-19,"5 Aston Avenue, Tilehurst",RG31 5JS,400000,Semi-detached,"Freehold",No,Standard
2023-05-15,"35 Barton Road, Tilehurst",RG31 5NJ,435000,Semi-detached,"Freehold",No,Standard
2023-05-05,"39 Longworth Avenue, Tilehurst",RG31 5JU,421500,Semi-detached,"Freehold",No,Standard
2023-05-04,"55 Blewbury Drive, Tilehurst",RG31 5HJ,475000,Semi-detached,"Freehold",No,Standard
2023-04-28,"10 Blewbury Drive, Tilehurst",RG31 5HL,610000,Semi-detached,"Freehold",No,Standard
2023-04-21,"92 Chapel Hill, Tilehurst",RG31 5DH,695000,Detached,"Freehold",No,Standard
2023-03-31,"71 Park Lane, Tilehurst",RG31 5DP,362500,Detached,"Freehold",No,Standard
2023-03-14,"68 Longworth Avenue, Tilehurst",RG31 5JY,420000,Semi-detached,"Freehold",No,Standard
2023-03-03,"9 Park Lane, Tilehurst",RG31 5DJ,615000,Semi-detached,"Freehold",No,Standard
2023-03-03,"28 Prince William Drive, Tilehurst",RG31 5WD,510000,Semi-detached,"Freehold",No,Standard
2023-02-24,"6 Elder Close, Tilehurst",RG31 5WG,410000,Semi-detached,"Freehold",No,Standard
2023-02-22,"10 Oak View, Tilehurst",RG31 5HF,450000,Detached,"Freehold",No,Standard
2023-02-21,"Flat 8, 52 School Road, Tilehurst",RG31 5AN,126250,Flat,"Leasehold",No,Non-standard
2023-02-14,"39 Sheraton Drive, Tilehurst",RG31 5UZ,495000,Detached,"Freehold",No,Standard
2023-02-13,"6 Arundel Lodge, Pegasus Court, Tilehurst",RG31 5DB,145000,Flat,"Leasehold",No,Standard
2023-02-10,"93 Chapel Hill, Tilehurst",RG31 5BX,835000,Detached,"Freehold",No,Standard
