Date,Address,Postcode,Price,Type,Ownership,NewBuild,SaleType
2022-02-25,"9 Mead Close, Tilehurst",RG31 4ET,342500,Semi-detached,"Freehold",No,Standard
2022-02-24,"7 Ayrton Senna Road, Tilehurst",RG31 4JQ,385000,Semi-detached,"Freehold",No,Standard
2022-02-18,"7 Alder Drive, Tilehurst",RG31 4EP,235000,Flat,"Leasehold",No,Standard
2022-02-18,"2 Acorn Walk, Calcot",RG31 4RL,343000,Terraced,"Freehold",No,Standard
2022-02-15,"96 Starlings Drive, Tilehurst",RG31 4SS,213000,Flat,"Leasehold",No,Standard
2022-02-11,"14 Bitterne Avenue, Tilehurst",RG31 4SP,305000,Terraced,"Freehold",No,Non-standard
2022-02-04,"Cranbourne, Cranbourne Avenue, Calcot",RG31 4RD,500000,Detached,"Freehold",No,Standard
2022-02-01,"52 Starlings Drive, Tilehurst",RG31 4SU,376500,Terraced,"Freehold",No,Standard
2022-01-31,"70 Royal Avenue, Calcot",RG31 4UR,245000,Semi-detached,"Freehold",No,Standard
2022-01-24,"25 Halpin Close, Calcot",RG31 4RA,240000,Flat,"Leasehold",No,Standard
2022-01-21,"44 Bitterne Avenue, Tilehurst",RG31 4SP,340000,Semi-detached,"Freehold",No,Standard
2022-01-20,"2 Harvest Close, Tilehurst",RG31 4ES,405000,Semi-detached,"Freehold",No,Standard
2021-12-10,"159 City Road, Tilehurst",RG31 4SL,315000,Semi-detached,"Freehold",No,Standard
2021-12-10,"16 Garston Crescent, Calcot",RG31 4XJ,320000,Semi-detached,"Freehold",No,Standard
2021-11-30,"1 Langley Lodge, Old Bath Road, Calcot",RG31 4QL,230200,Flat,"Leasehold",No,Standard
2021-11-30,"1 Bay Tree Rise, Calcot",RG31 4RG,635000,Detached,"Freehold",No,Standard
2021-11-25,"12A Glenwood Drive, Tilehurst",RG31 4HE,415000,Semi-detached,"Freehold",No,Standard
2021-11-02,"78 Starlings Drive, Tilehurst",RG31 4SS,201000,Flat,"Leasehold",No,Standard
2021-10-25,"4 High View, Calcot",RG31 4XE,350000,Semi-detached,"Freehold",No,Standard
2021-09-30,"7 Bay Tree Rise, Calcot",RG31 4RG,415000,Detached,"Freehold",No,Standard
2021-09-28,"4 Alder Drive, Tilehurst",RG31 4EP,225000,Flat,"Leasehold",No,Standard
2021-09-27,"15 Voller Drive, Tilehurst",RG31 4SE,451000,Detached,"Freehold",No,Standard
2021-09-27,"8 Broom Close, Calcot",RG31 4ZS,350000,Detached,"Freehold",No,Standard
2021-09-24,"105 Park Lane, Tilehurst",RG31 4DR,350000,Terraced,"Freehold",No,Standard
2021-09-10,"19 Garston Crescent, Calcot",RG31 4XL,340000,Semi-detached,"Freehold",No,Standard
2021-09-10,"5 Lilac Walk, Calcot",RG31 4YZ,326000,Semi-detached,"Freehold",No,Standard
2021-09-09,"8 Marlborough Way, Calcot",RG31 4XB,355000,Semi-detached,"Freehold",No,Standard
2021-08-24,"Sparrow Cottage, Royal Avenue, Calcot",RG31 4UP,249000,Terraced,"Freehold",No,Standard
2021-08-20,"122 Park Lane, Tilehurst",RG31 4DU,310000,Semi-detached,"Freehold",No,Standard
2021-08-18,"82 Starlings Drive, Tilehurst",RG31 4SS,225000,Flat,"Leasehold",No,Non-standard
2021-07-30,"42 Robin Way, Tilehurst",RG31 4SW,255000,Flat,"Leasehold",No,Standard
2021-07-23,"10A Sandringham Way, Calcot",RG31 4XA,295000,Terraced,"Freehold",No,Standard
2021-07-03,"160 Park Lane, Tilehurst",RG31 4DU,935496,Other,"Freehold",No,Non-standard
2021-06-30,"10 Blagrave Rise, Tilehurst",RG31 4SF,630000,Detached,"Freehold",No,Standard
2021-06-30,"42 Curlew Drive, Tilehurst",RG31 4TA,378000,Terraced,"Freehold",No,Standard
2021-06-30,"41 Royal Avenue, Calcot",RG31 4UR,205000,Semi-detached,"Freehold",No,Non-standard
2021-06-30,"33 Garston Crescent, Calcot",RG31 4XL,381000,Semi-detached,"Freehold",No,Standard
2021-06-28,"65 Royal Avenue, Calcot",RG31 4UR,255000,Semi-detached,"Freehold",No,Standard
2021-06-25,"69 Royal Avenue, Calcot",RG31 4UR,246000,Semi-detached,"Freehold",No,Standard
2021-06-18,"72 Starlings Drive, Tilehurst",RG31 4SS,206000,Flat,"Leasehold",No,Standard
2021-06-11,"34 Bitterne Avenue, Tilehurst",RG31 4SP,376000,Semi-detached,"Freehold",No,Standard
2021-06-10,"54 Starlings Drive, Tilehurst",RG31 4SU,330000,Terraced,"Freehold",No,Standard
2021-06-04,"157 Park Lane, Tilehurst",RG31 4DR,305000,Terraced,"Freehold",No,Standard
2021-05-28,"16 Bay Tree Rise, Calcot",RG31 4RG,430000,Detached,"Freehold",No,Standard
2021-05-26,"11 Blagrave Rise, Tilehurst",RG31 4SF,540000,Detached,"Freehold",No,Standard
2021-05-25,"10 Sandringham Way, Calcot",RG31 4XA,335000,Terraced,"Freehold",No,Standard
2021-05-14,"19 Curlew Drive, Tilehurst",RG31 4TA,380000,Semi-detached,"Freehold",No,Standard
2021-05-07,"25 Partridge Drive, Tilehurst",RG31 4SX,385000,Semi-detached,"Freehold",No,Standard
2021-05-05,"10 Starlings Drive, Tilehurst",RG31 4ST,397000,Semi-detached,"Freehold",No,Standard
2021-04-28,"31 City Road, Tilehurst",RG31 4HA,340000,Terraced,"Freehold",No,Standard
2021-04-23,"67 Royal Avenue, Calcot",RG31 4UR,252500,Semi-detached,"Freehold",No,Non-standard
2021-04-19,"26 Magpie Way, Tilehurst",RG31 4SJ,380000,Semi-detached,"Freehold",No,Standard
2021-04-16,"146 Park Lane, Tilehurst",RG31 4DU,395000,Detached,"Freehold",No,Standard
2021-04-13,"10 Bitterne Avenue, Tilehurst",RG31 4SP,328000,Flat,"Freehold",No,Standard
2021-04-09,"62 Royal Avenue, Calcot",RG31 4UR,250000,Semi-detached,"Freehold",No,Standard
2021-03-31,"9 Vanlore Way, Calcot",RG31 4XH,290000,Terraced,"Freehold",No,Standard
2021-03-26,"40 Robin Way, Tilehurst",RG31 4SW,240000,Flat,"Leasehold",No,Standard
2021-03-26,"16 Glamis Way, Calcot",RG31 4UX,298000,Terraced,"Freehold",No,Standard
2021-03-26,"8 Fern Walk, Calcot",RG31 4YA,320000,Semi-detached,"Freehold",No,Standard
2021-03-25,"5 Fern Walk, Calcot",RG31 4YA,315000,Semi-detached,"Freehold",No,Standard
2021-03-22,"2 Hugh Fraser Drive, Tilehurst",RG31 4QZ,320000,Terraced,"Freehold",No,Standard
2021-03-18,"1 Bitterne Avenue, Tilehurst",RG31 4SP,370950,Semi-detached,"Freehold",No,Standard
2021-03-12,"2 Withy Close, Tilehurst",RG31 4SQ,490000,Detached,"Freehold",No,Standard
2021-03-10,"77 Yew Tree Rise, Calcot",RG31 4RQ,308500,Terraced,"Freehold",No,Standard
2021-03-09,"36 Magpie Way, Tilehurst",RG31 4SJ,390000,Semi-detached,"Freehold",No,Standard
2021-03-09,"29 Broom Close, Calcot",RG31 4ZS,375000,Detached,"Freehold",No,Standard
2021-03-05,"5 Bay Tree Rise, Calcot",RG31 4RG,585000,Detached,"Freehold",No,Standard
2021-03-05,"3 Poppy Way, Calcot",RG31 4RJ,280000,Terraced,"Freehold",No,Standard
2021-03-05,"18 Voller Drive, Tilehurst",RG31 4SE,408000,Detached,"Freehold",No,Standard
2021-03-05,"15 Fern Walk, Calcot",RG31 4YA,305000,Semi-detached,"Freehold",No,Standard
2021-02-26,"2D High View, Calcot",RG31 4XE,167500,Terraced,"Leasehold",No,Standard
2021-02-19,"49 Yew Tree Rise, Calcot",RG31 4RQ,325000,Semi-detached,"Freehold",No,Standard
2021-02-19,"5 Greenfinch Close, Tilehurst",RG31 4SY,315000,Terraced,"Freehold",No,Standard
2021-02-18,"203 City Road, Tilehurst",RG31 4SL,305000,Semi-detached,"Freehold",No,Standard
2021-02-09,"2 Clarence Way, Calcot",RG31 4UU,295000,Semi-detached,"Freehold",No,Standard
2021-02-05,"141 Park Lane, Tilehurst",RG31 4DR,315000,Terraced,"Freehold",No,Standard
2021-02-05,"13 Bay Tree Rise, Calcot",RG31 4RG,395000,Detached,"Freehold",No,Standard
2021-01-29,"6 Glamis Way, Calcot",RG31 4UX,325000,Semi-detached,"Freehold",No,Standard
2021-01-28,"3 Gatcombe Close, Calcot",RG31 4XQ,357000,Terraced,"Freehold",No,Standard
2021-01-22,"67 Partridge Drive, Tilehurst",RG31 4SX,325000,Semi-detached,"Freehold",No,Standard
2021-01-15,"14 Glenwood Drive, Tilehurst",RG31 4HE,400000,Semi-detached,"Freehold",No,Standard
2021-01-15,"36 Robin Way, Tilehurst",RG31 4SW,240000,Flat,"Leasehold",No,Standard
2021-01-08,"19 Glenwood Drive, Tilehurst",RG31 4HE,295000,Semi-detached,"Freehold",No,Standard
2021-01-04,"15 Firs Road, Tilehurst",RG31 4EL,675000,Detached,"Freehold",No,Standard
2020-12-18,"22 Bay Tree Rise, Calcot",RG31 4RG,385000,Detached,"Freehold",No,Standard
2020-12-18,"157 City Road, Tilehurst",RG31 4SL,310000,Semi-detached,"Freehold",No,Standard
2020-12-18,"64 Starlings Drive, Tilehurst",RG31 4SS,206000,Other,"Leasehold",No,Non-standard
2020-12-10,"17 Curlew Drive, Tilehurst",RG31 4TA,340000,Semi-detached,"Freehold",No,Standard
2020-12-10,"Lawrence House, 14 Royal Avenue, Calcot",RG31 4UP,315000,Semi-detached,"Freehold",No,Standard
2020-12-04,"68 Curlew Drive, Tilehurst",RG31 4TA,305000,Terraced,"Freehold",No,Standard
2020-12-03,"5 Mayfield Avenue, Calcot",RG31 4RE,540000,Detached,"Freehold",No,Standard
2020-11-27,"16A Magpie Way, Tilehurst",RG31 4SJ,425000,Semi-detached,"Freehold",No,Standard
2020-11-20,"37 Farm Drive, Tilehurst",RG31 4EU,368000,Terraced,"Freehold",No,Standard
2020-11-20,"46 Starlings Drive, Tilehurst",RG31 4SU,207000,Terraced,"Freehold",No,Standard
2020-11-12,"25 Bitterne Avenue, Tilehurst",RG31 4SP,347500,Semi-detached,"Freehold",No,Standard
2020-11-09,"10 Bay Tree Rise, Calcot",RG31 4RG,450000,Detached,"Freehold",No,Standard
2020-10-30,"5 City Road, Tilehurst",RG31 4HA,300000,Terraced,"Freehold",No,Standard
2020-10-27,"Tanglewood, 120 Starlings Drive, Tilehurst",RG31 4SS,730000,Detached,"Freehold",No,Standard
2020-10-16,"2 Magpie Way, Tilehurst",RG31 4SJ,215000,Flat,"Leasehold",No,Standard
2020-10-15,"30 Gatcombe Close, Calcot",RG31 4XQ,210000,Terraced,"Freehold",No,Non-standard
2020-10-02,"2 Alder Drive, Tilehurst",RG31 4EP,210000,Semi-detached,"Leasehold",No,Standard
2020-10-02,"25 Robin Way, Tilehurst",RG31 4SW,379950,Terraced,"Freehold",No,Standard
2020-10-01,"2 Linnet Close, Tilehurst",RG31 4SR,346000,Semi-detached,"Freehold",No,Standard
2020-09-25,"12 Mead Close, Tilehurst",RG31 4ET,415000,Semi-detached,"Freehold",No,Standard
2020-09-25,"10 Langley Hill, Calcot",RG31 4QU,410000,Detached,"Freehold",No,Standard
2020-09-25,"17 Bay Tree Rise, Calcot",RG31 4RG,457000,Detached,"Freehold",No,Standard
2020-09-21,"4 Mayfield Avenue, Calcot",RG31 4RE,545000,Detached,"Freehold",No,Standard
2020-09-04,"22 Langley Hill, Calcot",RG31 4QU,650000,Detached,"Freehold",No,Standard
2020-09-03,"30 Starlings Drive, Tilehurst",RG31 4SU,330000,Terraced,"Freehold",No,Standard
2020-09-03,"49 Curlew Drive, Tilehurst",RG31 4TA,345000,Semi-detached,"Freehold",No,Standard
2020-08-28,"9 Withy Close, Tilehurst",RG31 4SQ,498000,Detached,"Freehold",No,Standard
2020-08-24,"Hollies, Boundary Close, Tilehurst",RG31 4ER,565000,Detached,"Freehold",No,Standard
2020-08-21,"10 Goldcrest Way, Tilehurst",RG31 4ZG,345000,Semi-detached,"Freehold",No,Standard
2020-08-14,"13 Curtis Road, Calcot",RG31 4XG,300000,Terraced,"Freehold",No,Standard
2020-08-13,"28 Starlings Drive, Tilehurst",RG31 4SU,350000,Terraced,"Freehold",No,Standard
2020-08-07,"3 Langley Hill, Calcot",RG31 4QX,332500,Semi-detached,"Freehold",No,Standard
2020-07-29,"3 Fern Walk, Calcot",RG31 4YA,306500,Semi-detached,"Freehold",No,Standard
2020-07-28,"6 Warbler Close, Tilehurst",RG31 4ZQ,385000,Semi-detached,"Freehold",No,Standard
2020-07-17,"13 Fern Walk, Calcot",RG31 4YA,320000,Semi-detached,"Freehold",No,Standard
2020-07-10,"10 Yew Tree Rise, Calcot",RG31 4RQ,370000,Semi-detached,"Freehold",No,Standard
2020-07-06,"15 Langley Hill Close, Tilehurst",RG31 4EJ,445000,Semi-detached,"Freehold",No,Standard
2020-06-30,"116 Park Lane, Tilehurst",RG31 4DU,325000,Terraced,"Freehold",No,Standard
2020-06-05,"10 Halpin Close, Calcot",RG31 4RA,230205,Flat,"Leasehold",No,Standard
2020-06-05,"1 Broom Close, Calcot",RG31 4ZS,360000,Detached,"Freehold",No,Standard
2020-05-29,"10 Glenwood Drive, Tilehurst",RG31 4HE,276000,Semi-detached,"Freehold",No,Standard
2020-05-22,"40 Starlings Drive, Tilehurst",RG31 4SU,350000,Detached,"Freehold",No,Standard
2020-05-19,"21 City Road, Tilehurst",RG31 4HA,320000,Terraced,"Freehold",No,Standard
2020-05-15,"3 Cowslip Close, Tilehurst",RG31 4EY,445000,Detached,"Freehold",No,Standard
2020-05-15,"11 Curtis Road, Calcot",RG31 4XG,290000,Semi-detached,"Freehold",No,Standard
2020-04-17,"92 Starlings Drive, Tilehurst",RG31 4SS,200000,Flat,"Leasehold",No,Standard
2020-04-09,"56 Partridge Drive, Tilehurst",RG31 4SX,355000,Semi-detached,"Freehold",No,Standard
2020-04-08,"43 Gatcombe Close, Calcot",RG31 4XQ,160000,Semi-detached,"Freehold",No,Standard
2020-04-03,"2 Blagrave Cottages, Voller Drive, Tilehurst",RG31 4AB,346000,Semi-detached,"Freehold",No,Standard
2020-04-03,"24 Hugh Fraser Drive, Tilehurst",RG31 4QZ,321000,Semi-detached,"Freehold",No,Standard
2020-03-30,"5 Cresswells Brow House, 173 City Road, Tilehurst",RG31 4SA,192000,Flat,"Leasehold",No,Standard
2020-03-27,"17 Robin Way, Tilehurst",RG31 4SW,315000,Semi-detached,"Freehold",No,Standard
2020-03-27,"40 Royal Avenue, Calcot",RG31 4UP,315000,Semi-detached,"Freehold",No,Standard
2020-03-19,"8 Ayrton Senna Road, Tilehurst",RG31 4JQ,360000,Semi-detached,"Freehold",No,Standard
2020-03-19,"1 Ayrton Senna Road, Tilehurst",RG31 4JQ,330000,Semi-detached,"Freehold",No,Standard
2020-03-06,"22 Starlings Drive, Tilehurst",RG31 4ST,382000,Detached,"Freehold",No,Standard
2020-02-27,"121C Langley Hill, Tilehurst",RG31 4EH,333000,Semi-detached,"Freehold",No,Standard
2020-02-27,"28 Garston Crescent, Calcot",RG31 4XJ,318000,Semi-detached,"Freehold",No,Standard
2020-02-20,"13 Acorn Walk, Calcot",RG31 4RL,287000,Terraced,"Freehold",No,Standard
2020-02-11,"8 Lilac Walk, Calcot",RG31 4YZ,320000,Semi-detached,"Freehold",No,Standard
2020-02-07,"84 Starlings Drive, Tilehurst",RG31 4SS,195000,Flat,"Leasehold",No,Standard
2020-02-05,"18 Magpie Way, Tilehurst",RG31 4SJ,280000,Semi-detached,"Freehold",No,Non-standard
2020-01-29,"24 Magpie Way, Tilehurst",RG31 4SJ,330000,Semi-detached,"Freehold",No,Standard
2020-01-24,"9 Alder Drive, Tilehurst",RG31 4EP,227500,Flat,"Leasehold",No,Standard
2019-12-20,"10 Glamis Way, Calcot",RG31 4UX,300000,Terraced,"Freehold",No,Non-standard
2019-12-20,"18 Goldcrest Way, Tilehurst",RG31 4ZG,320000,Semi-detached,"Freehold",No,Standard
2019-12-11,"1 Fern Close, Calcot",RG31 4YY,315000,Detached,"Freehold",No,Standard
2019-12-06,"7 Mayfield Avenue, Calcot",RG31 4RE,325000,Detached,"Freehold",No,Standard
2019-11-22,"12 Halpin Close, Calcot",RG31 4RA,250000,Flat,"Leasehold",No,Standard
2019-11-21,"27 Curlew Drive, Tilehurst",RG31 4TA,375000,Terraced,"Freehold",No,Standard
2019-11-18,"20 Broom Close, Calcot",RG31 4ZS,330000,Detached,"Freehold",No,Standard
2019-11-11,"16 Boundary Close, Tilehurst",RG31 4ER,463911,Semi-detached,"Freehold",No,Standard
2019-11-08,"25 Gatcombe Close, Calcot",RG31 4XQ,315000,Semi-detached,"Freehold",No,Standard
2019-11-01,"7 City Road, Tilehurst",RG31 4HA,290000,Semi-detached,"Freehold",No,Standard
2019-11-01,"Spinneyside, Langley Hall Drive, Calcot",RG31 4QY,480000,Detached,"Freehold",No,Standard
2019-10-25,"48 Robin Way, Tilehurst",RG31 4SW,240000,Flat,"Leasehold",No,Standard
2019-10-18,"15 Blagrave Rise, Tilehurst",RG31 4SF,372000,Detached,"Freehold",No,Standard
2019-10-10,"29 Farm Drive, Tilehurst",RG31 4EU,287000,Semi-detached,"Freehold",No,Standard
2019-10-08,"19 Royal Avenue, Calcot",RG31 4UP,315000,Semi-detached,"Freehold",No,Standard
2019-09-23,"51 Yew Tree Rise, Calcot",RG31 4RQ,305000,Semi-detached,"Freehold",No,Standard
2019-09-13,"21 Garston Crescent, Calcot",RG31 4XL,340000,Semi-detached,"Freehold",No,Standard
2019-09-12,"3 Ashwood Close, Tilehurst",RG31 4EX,275000,Terraced,"Freehold",No,Standard
2019-08-30,"10 Royal Avenue, Calcot",RG31 4UP,337000,Semi-detached,"Freehold",No,Standard
2019-08-22,"12 Lilac Walk, Calcot",RG31 4YZ,315000,Semi-detached,"Freehold",No,Standard
2019-08-21,"118 Park Lane, Tilehurst",RG31 4DU,315000,Terraced,"Freehold",No,Standard
2019-08-16,"6 Hugh Fraser Drive, Tilehurst",RG31 4QZ,300000,Terraced,"Freehold",No,Standard
2019-08-09,"23 Robin Way, Tilehurst",RG31 4SW,310000,Semi-detached,"Freehold",No,Non-standard
2019-07-31,"72 Starlings Drive, Tilehurst",RG31 4SS,150000,Flat,"Leasehold",No,Standard
2019-07-31,"42 Robin Way, Tilehurst",RG31 4SW,245000,Flat,"Leasehold",No,Standard
2019-07-29,"66 Curlew Drive, Tilehurst",RG31 4TA,315000,Semi-detached,"Freehold",No,Standard
2019-07-29,"15 Goldcrest Way, Tilehurst",RG31 4ZG,358000,Semi-detached,"Freehold",No,Standard
