Date,Address,Postcode,Price,Type,Ownership,NewBuild,SaleType
2023-11-30,"3 Mead Close, Tilehurst",RG31 4ET,350000,Semi-detached,"Freehold",No,Standard
2023-11-29,"4 Voller Drive, Tilehurst",RG31 4SE,550000,Detached,"Freehold",No,Standard
2023-10-20,"26 Bay Tree Rise, Calcot",RG31 4RG,380000,Semi-detached,"Freehold",No,Standard
2023-09-29,"4 Cresswells Brow House, 173 City Road, Tilehurst",RG31 4SA,190000,Flat,"Leasehold",No,Standard
2023-09-15,"10 Broom Close, Calcot",RG31 4ZS,375000,Detached,"Freehold",No,Standard
2023-09-14,"19 Yew Tree Rise, Calcot",RG31 4RQ,360000,Semi-detached,"Freehold",No,Standard
2023-08-31,"112 Starlings Drive, Tilehurst",RG31 4SS,582000,Detached,"Freehold",No,Standard
2023-08-25,"131 Langley Hill, Tilehurst",RG31 4EE,475000,Detached,"Freehold",No,Standard
2023-08-01,"11 Voller Drive, Tilehurst",RG31 4SE,515000,Detached,"Freehold",No,Standard
2023-07-21,"6 Bitterne Avenue, Tilehurst",RG31 4SP,325000,Terraced,"Freehold",No,Standard
2023-07-14,"33 Curlew Drive, Tilehurst",RG31 4TA,425000,Semi-detached,"Freehold",No,Standard
2023-06-30,"7 Linnet Close, Tilehurst",RG31 4SR,412000,Semi-detached,"Freehold",No,Standard
2023-06-19,"69 Yew Tree Rise, Calcot",RG31 4RQ,342000,Terraced,"Freehold",No,Standard
2023-06-02,"1 Nabbs Hill Close, Tilehurst",RG31 4SG,615000,Detached,"Freehold",No,Standard
2023-06-01,"117 Park Lane, Tilehurst",RG31 4DR,350000,Terraced,"Freehold",No,Standard
2023-05-26,"124 Park Lane, Tilehurst",RG31 4DU,315000,Terraced,"Freehold",No,Standard
2023-05-26,"4 Ashwood Close, Tilehurst",RG31 4EX,337500,Semi-detached,"Freehold",No,Standard
2023-05-12,"3 Fern Close, Calcot",RG31 4YY,450000,Detached,"Freehold",No,Standard
2023-05-05,"1 Robin Way, Tilehurst",RG31 4SW,440000,Terraced,"Freehold",No,Standard
2023-04-13,"25 Broom Close, Calcot",RG31 4ZS,425000,Detached,"Freehold",No,Standard
2023-03-31,"149 Park Lane, Tilehurst",RG31 4DR,323974,Terraced,"Freehold",No,Standard
2023-03-30,"2 Warbler Close, Tilehurst",RG31 4ZQ,328500,Terraced,"Freehold",No,Standard
2023-03-16,"4 Firs Road, Tilehurst",RG31 4EN,550000,Detached,"Freehold",No,Standard
2023-03-16,"10 Curtis Road, Calcot",RG31 4XG,400000,Semi-detached,"Freehold",No,Standard
2023-03-10,"3 Cresswells Brow House, 173 City Road, Tilehurst",RG31 4SA,200000,Flat,"Leasehold",No,Standard
2023-03-10,"70 Starlings Drive, Tilehurst",RG31 4SS,228500,Flat,"Leasehold",No,Standard
2023-03-10,"1 Garston Crescent, Calcot",RG31 4XL,257000,Other,"Leasehold",No,Non-standard
2023-02-24,"8 Glenwood Drive, Tilehurst",RG31 4HE,457500,Terraced,"Freehold",No,Standard
2023-02-24,"74 Starlings Drive, Tilehurst",RG31 4SS,210000,Flat,"Leasehold",No,Standard
2023-02-10,"44 Langley Hill, Calcot",RG31 4QU,490000,Detached,"Freehold",No,Standard
2023-02-09,"74 Robin Way, Tilehurst",RG31 4SW,270000,Flat,"Leasehold",No,Standard
2023-02-03,"6 Garston Crescent, Calcot",RG31 4XJ,330000,Semi-detached,"Freehold",No,Standard
2023-02-01,"12 Bitterne Avenue, Tilehurst",RG31 4SP,340000,Semi-detached,"Freehold",No,Standard
2023-01-30,"7 Swallow Close, Tilehurst",RG31 4SN,395000,Terraced,"Freehold",No,Standard
2023-01-18,"5 Farm Drive, Tilehurst",RG31 4EU,450000,Terraced,"Freehold",No,Standard
2023-01-06,"5 Poppy Way, Calcot",RG31 4RJ,375000,Terraced,"Freehold",No,Standard
2022-12-19,"36 Langley Hill, Calcot",RG31 4QU,555000,Detached,"Freehold",No,Standard
2022-12-16,"11 Mayfield Avenue, Calcot",RG31 4RE,438250,Other,"Freehold",No,Non-standard
2022-12-12,"9 Alder Drive, Tilehurst",RG31 4EP,248000,Flat,"Leasehold",No,Standard
2022-12-09,"5 Conway Road, Calcot",RG31 4XP,269000,Detached,"Freehold",No,Non-standard
2022-12-07,"187 City Road, Tilehurst",RG31 4SL,665500,Detached,"Freehold",No,Standard
2022-12-07,"1 Sandringham Way, Calcot",RG31 4XA,378000,Terraced,"Freehold",No,Standard
2022-12-05,"36 Starlings Drive, Tilehurst",RG31 4SU,402500,Semi-detached,"Freehold",No,Standard
2022-12-02,"2 Halpin Close, Calcot",RG31 4RA,250000,Flat,"Leasehold",No,Standard
2022-11-30,"121C Langley Hill, Tilehurst",RG31 4EH,500000,Semi-detached,"Freehold",No,Standard
2022-11-25,"8 Magpie Way, Tilehurst",RG31 4SJ,225000,Flat,"Leasehold",No,Standard
2022-10-31,"126 Park Lane, Tilehurst",RG31 4DU,400000,Terraced,"Freehold",No,Standard
2022-10-31,"45 Garston Crescent, Calcot",RG31 4XL,415000,Semi-detached,"Freehold",No,Standard
2022-10-24,"71 Royal Avenue, Calcot",RG31 4UR,300000,Semi-detached,"Freehold",No,Standard
2022-10-21,"10 Empress Road, Calcot",RG31 4XR,320000,Semi-detached,"Freehold",No,Standard
2022-10-10,"6 Goldcrest Way, Tilehurst",RG31 4ZG,430000,Semi-detached,"Freehold",No,Standard
2022-10-05,"7 Sandringham Way, Calcot",RG31 4XA,330000,Terraced,"Freehold",No,Standard
2022-09-08,"19 Robin Way, Tilehurst",RG31 4SW,440000,Semi-detached,"Freehold",No,Standard
2022-09-06,"5 Conway Road, Calcot",RG31 4XP,250000,Detached,"Freehold",No,Non-standard
2022-08-31,"1 Starlings Drive, Tilehurst",RG31 4ST,439000,Semi-detached,"Freehold",No,Standard
2022-08-31,"1 Curtis Road, Calcot",RG31 4XG,305000,Semi-detached,"Freehold",No,Standard
2022-08-30,"2 Fern Close, Calcot",RG31 4YY,430000,Detached,"Freehold",No,Standard
2022-08-26,"9 Linnet Close, Tilehurst",RG31 4SR,435500,Terraced,"Freehold",No,Standard
2022-08-19,"33 Bay Tree Rise, Calcot",RG31 4RG,420000,Detached,"Freehold",No,Standard
2022-08-19,"209 City Road, Tilehurst",RG31 4SL,370000,Semi-detached,"Freehold",No,Standard
2022-08-09,"Garage At 39 Curtis Road, Calcot",RG31 4XG,8000,Other,"Freehold",No,Non-standard
2022-08-05,"6 Blagrave Rise, Tilehurst",RG31 4SF,625000,Detached,"Freehold",No,Standard
2022-08-04,"2 Windsor Way, Calcot",RG31 4UY,325000,Terraced,"Freehold",No,Standard
2022-07-26,"3 Vanlore Way, Calcot",RG31 4XH,420000,Semi-detached,"Freehold",No,Standard
2022-07-20,"28 Gatcombe Close, Calcot",RG31 4XQ,240000,Terraced,"Freehold",No,Non-standard
2022-07-07,"6 Curtis Road, Calcot",RG31 4XG,390000,Terraced,"Freehold",No,Standard
2022-07-01,"40 Royal Avenue, Calcot",RG31 4UP,375000,Semi-detached,"Freehold",No,Standard
2022-06-30,"25 Gatcombe Close, Calcot",RG31 4XQ,300000,Semi-detached,"Freehold",No,Standard
2022-06-29,"6 Curtis Road, Calcot",RG31 4XG,292000,Terraced,"Freehold",No,Non-standard
2022-06-27,"13 Yew Tree Rise, Calcot",RG31 4RQ,375000,Semi-detached,"Freehold",No,Standard
2022-06-21,"18 Magpie Way, Tilehurst",RG31 4SJ,357000,Semi-detached,"Freehold",No,Standard
2022-06-21,"51 Garston Crescent, Calcot",RG31 4XL,390000,Semi-detached,"Freehold",No,Standard
2022-06-10,"17A Royal Avenue, Calcot",RG31 4UP,360000,Terraced,"Freehold",No,Non-standard
2022-05-27,"4 Halpin Close, Calcot",RG31 4RA,230000,Flat,"Leasehold",No,Standard
2022-05-27,"37 Robin Way, Tilehurst",RG31 4SW,406500,Semi-detached,"Freehold",No,Standard
2022-05-20,"151 Park Lane, Tilehurst",RG31 4DR,340250,Terraced,"Freehold",No,Standard
2022-05-17,"46 Starlings Drive, Tilehurst",RG31 4SU,390000,Terraced,"Freehold",No,Standard
2022-05-16,"61 Curlew Drive, Tilehurst",RG31 4TA,340000,Terraced,"Freehold",No,Standard
2022-05-06,"1 Goldcrest Way, Tilehurst",RG31 4ZG,610000,Detached,"Freehold",No,Standard
2022-04-29,"37 Royal Avenue, Calcot",RG31 4UR,278000,Semi-detached,"Freehold",No,Standard
2022-04-12,"2A Firs Road, Tilehurst",RG31 4EN,300000,Terraced,"Freehold",No,Standard
2022-04-08,"15 Sandown Avenue, Calcot",RG31 4RB,600000,Detached,"Freehold",No,Standard
2022-04-08,"26 Glamis Way, Calcot",RG31 4UX,377000,Semi-detached,"Freehold",No,Standard
2022-04-07,"9 Greenfinch Close, Tilehurst",RG31 4SY,435000,Semi-detached,"Freehold",No,Standard
2022-03-25,"7 Acorn Walk, Calcot",RG31 4RL,362000,Semi-detached,"Freehold",No,Standard
2022-03-11,"19 Royal Avenue, Calcot",RG31 4UP,320000,Semi-detached,"Freehold",No,Standard
2022-03-08,"10 Glenwood Drive, Tilehurst",RG31 4HE,375000,Semi-detached,"Freehold",No,Standard
